Miembro,Telefono Empresa,Web,Localidad,Provincia
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Maipú,BUENOS AIRES
CPS.COMUNICACIONES SA /METROTEL,(011) 6091-1000,www.metrotel.com.ar,Malvinas Argentinas,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Malvinas Argentinas,BUENOS AIRES
VER TV SA/TELERED,0810-810-22253,www.telered.com.ar,Malvinas Argentinas,BUENOS AIRES
SILICA NETWORKS ARGENTINA SA,+54 (11) 4103-1300,www.silicanetworks.com,Manfredi,BUENOS AIRES
COOPERATIVA DE PROVISION DE SERVICIOS PUBLICOS DE TORTUGUITAS LTDA,,www.cooptortu.com.ar,Manuel Alberti,BUENOS AIRES
GOW INTERNET SRL,(11) 52758500 / 081-3456-469,www.gowinternet.com.ar,Manuel Alberti,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Manuel J. Cobo,BUENOS AIRES
COOPERATIVA DE SERVICIOS PUBLICOS DE FATIMA LIMITADA (COSEFA),0230-4490900/4444110,www.cosefa.com.ar,MANZANARES,BUENOS AIRES
VER TV SA/TELERED,0810-810-22253,www.telered.com.ar,Manzanares,BUENOS AIRES
GOW INTERNET SRL,(11) 52758500 / 081-3456-469,www.gowinternet.com.ar,Maquinista Savio,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Maquinista Savio Este,BUENOS AIRES
COOPERATIVA TELEFONICA Y OTROS SERVICIOS DE VILLA GESELL COTEL LTDA,,www.cotel.com.ar,Mar Azul,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Mar Azul,BUENOS AIRES
MULTITRUNK SA (YEAP!),5236-5200,www.yeap.com.ar,Mar de Ajo,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Mar de Ajó,BUENOS AIRES
DANAIDE SA,0810-999-3262,www.danaide.com.ar,Mar de Ajó,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Mar de Ajó,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Mar de Ajó,BUENOS AIRES
TVC 5 SA,(02257) 420081,www.tvc5sa.com.ar,Mar de Ajó,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Mar de las Pampas,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Mar del Plata,BUENOS AIRES
,COOPERATIVA DE PROVISION DE ELECTRICIDAD Y OTROS SERVICIOS PUBLICOS LTDA.PUEBLO CAMET,www.cooperativacamet.com.ar,Mar del Plata,BUENOS AIRES
,"COOPERATIVA DE PROVISION DE ELECTRICIDAD, SERVICIOS PUBLICOS, VIVIENDA Y CREDITO DE MAR DEL PLATA LIMITADA",,Mar del Plata,BUENOS AIRES
,"COOPERATIVA TELEFONICA CARLOS TEJEDOR DE PROVISION DE SERVICIOS PUBLICOS, VIVIENDA PROVISION Y CONSUMO LTDA (COPETEL)",,,BUENOS AIRES
CYBERWAVE S.A.,(0223) 4808124,www.cyberwave.com.ar,Mar del Plata,BUENOS AIRES
DANAIDE SA,0810-999-3262,www.danaide.com.ar,Mar del Plata,BUENOS AIRES
MEGATRANS SA,4343-5657,www.megatrans.com.ar,Mar del Plata,BUENOS AIRES
MULTITRUNK SA (YEAP!),5236-5200,www.yeap.com.ar,Mar del Plata,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Mar del Plata,BUENOS AIRES
"SES, SISTEMAS ELECTRONICOS SA",5453-8469,www.ses.com.ar,Mar del Plata,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Mar del Plata,BUENOS AIRES
TELMEX ARGENTINA S.A.,,www.claro.com.ar,Mar del Plata,BUENOS AIRES
,UNION DEL SUD COOPERATIVA DE OBRAS Y SERVICIOS PUBLICOS Y CONSUMO LIMITADA,www.uniondelsud.com.ar,Mar del Plata,BUENOS AIRES
UNIVERSIDAD NACIONAL DE MAR DEL PLATA,0223-492-1700,,Mar del Plata,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Mar del Tuyú,BUENOS AIRES
ATLANTICA VIDEO CABLE SA,(02246) 420282 / 810,www.avcsa.com.ar,Mar del Tuyú,BUENOS AIRES
DANAIDE SA,0810-999-3262,www.danaide.com.ar,Mar del Tuyú,BUENOS AIRES
MUNICIPALIDAD DE LA COSTA,(02246) 433051,www.lacosta.gob.ar,Mar del Tuyú,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Mar del Tuyú,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Mar del Tuyú,BUENOS AIRES
ADVANTUN SRL,"5365-8800
COOPERATIVA DE PROVISION DE SERVICIOS TELEFÓNICOS Y OTROS SERVICIOS PÚBLICOS Y COMUNITARIOS DE CENTENARIO LTDA
 (5411) 6091.5600",www.advantun.com,Marcos Paz,BUENOS AIRES
,,,Marcos Paz,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,,www.redintercable.com.ar,Marcos Paz,BUENOS AIRES
RSO APOLO HIDALGO SRL,(0220) 4774976,www.rsonet.com.ar,Marcos Paz,BUENOS AIRES
SILICA NETWORKS ARGENTINA SA,+54 (11) 4103-1300,www.silicanetworks.com,Marcos Paz,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Marcos Paz,BUENOS AIRES
,"COOPERATIVA DE PROVISION DE SERVICIOS TELEFONICOS, OTROS SERVICIOS PUBLICOS Y CONSUMO DE MARIANO ACOSTA LTDA",,Mariano Acosta,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Martin Coronado,BUENOS AIRES
VER TV SA/TELERED,0810-810-22253,www.telered.com.ar,Martin Coronado,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Martinez,BUENOS AIRES
ALPHA 2000 SOLUCIONES INFORMATICAS SRL,(011) 43455150,www.alpha2000.com.ar,Martinez,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Martinez,BUENOS AIRES
MULTITRUNK SA (YEAP!),5236-5200,www.yeap.com.ar,Martinez,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Martinez,BUENOS AIRES
SN COMUNICACIONES SRL (SN WIFI),0800 345 6666,www.snwifi.com.ar,Martinez,BUENOS AIRES
GRUPO FULLSAT SRL,6091-8244 / 6009-7100,www.fullsat.com.ar,Matanza,BUENOS AIRES
COOPERATIVA TELEFÓNICA DE VIVIENDA Y OTROS SERVICIOS PÚBLICOS DEL VISO LTDA,,www.telviso.com.ar,Matheu,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Matheu,BUENOS AIRES
VER TV SA/TELERED,0810-810-22253,www.telered.com.ar,Matheu,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Mauricio Hirsch,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Mayor Buratovich,BUENOS AIRES
CATTANEO LUIS E. (BBL-Net / Velostar ),0291 452-4444,www.bbl-net.com.ar,Medanos,BUENOS AIRES
ETERNET SRL,(02983) 513040,www.eternet.cc,Medanos,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Medanos,BUENOS AIRES
"LACALLE, JOSE GUILLERMO",291-6482193,www.cisnet.com.ar,Médanos,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Mercado Central,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Mercado Central,BUENOS AIRES
INTERMER 2011 S.A.,02324-433630,www.intermer.com.ar,Mercedes,BUENOS AIRES
IPNEXT S.A.,5368-4000,www.ipnext.net.ar,Mercedes,BUENOS AIRES
LIMA VIDEO CABLE SA (CABLETEL),(03487) 431034,www.cabletel.net.ar,Mercedes,BUENOS AIRES
VER TV SA/TELERED,0810-810-22253,www.telered.com.ar,Mercedes,BUENOS AIRES
CPS.COMUNICACIONES SA /METROTEL,(011) 6091-1000,www.metrotel.com.ar,Merlo,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Merlo,BUENOS AIRES
SILICOMLAN S.A.,8103623636,www.silicom.com.ar,Merlo,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Merlo,BUENOS AIRES
SN COMUNICACIONES SRL (SN WIFI),0800 345 6666,www.snwifi.com.ar,Merlo,BUENOS AIRES
ETERNET SRL,(02983) 513040,www.eternet.cc,Micalea Cascallares,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Miramar,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Miramar,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Moctezuma,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Mones Cazón,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Monte Chingolo,BUENOS AIRES
MULTITRUNK SA (YEAP!),5236-5200,www.yeap.com.ar,Monte Chingolo,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Monte Chingolo,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Monte Grande,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Monte Grande,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Monte Grande,BUENOS AIRES
CIUDAD GLOBAL S.A.,0291-455-8448,www.ciudadglobal.com.ar,Monte Hermoso,BUENOS AIRES
NODOCOOP FEDERACION DE COOPERATIVAS LTDA,(02923) 494200,www.nodocoop.com.ar,Monte Hermoso,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Monte Hermoso,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Moquehuá,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Moreno,BUENOS AIRES
JUAN PABLO FLORENTIN (JUAMPYNET),15 35371699,www.juampynet.com,Moreno,BUENOS AIRES
JUMPNET SOLUCIONES DE INTERNET S.R.L.,011-6632-6600,www.jumpnet.com.ar,Moreno,BUENOS AIRES
LINKEAR SRL,0810-266-7025,www.linkearsrl.com.ar,Moreno,BUENOS AIRES
MULTITRUNK SA (YEAP!),5236-5200,www.yeap.com.ar,Moreno,BUENOS AIRES
MUNICIPALIDAD DE MORENO,0237 4620001,www.moreno.gov.ar,Moreno,BUENOS AIRES
REDES Y COMUNICACIONES MORENO SRL,(011) 3220-5922,www.starnetworks.com.ar,Moreno,BUENOS AIRES
"SES, SISTEMAS ELECTRONICOS SA",5453-8469,www.ses.com.ar,Moreno,BUENOS AIRES
SINTURION MARTIN MAXIMILIANO (STATIONET),011-52632189,www.stationet.com.ar,Moreno,BUENOS AIRES
SISTA S.A.,(0221) 4275510,www.sista.com.ar,Moreno,BUENOS AIRES
SN COMUNICACIONES SRL (SN WIFI),0800 345 6666,www.snwifi.com.ar,Moreno,BUENOS AIRES
TELMEX ARGENTINA S.A.,,www.claro.com.ar,Moreno,BUENOS AIRES
VER TV SA/TELERED,0810-810-22253,www.telered.com.ar,Moreno,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Moron,BUENOS AIRES
CPS.COMUNICACIONES SA /METROTEL,(011) 6091-1000,www.metrotel.com.ar,Moron,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Moron,BUENOS AIRES
"SES, SISTEMAS ELECTRONICOS SA",5453-8469,www.ses.com.ar,Moron,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Moron,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Munro,BUENOS AIRES
DIRECTV ARGENTINA S.A.,3751-2500,www.directv.com.ar,Munro,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Munro,BUENOS AIRES
UGALDE JUAN IGNACIO (DUPPINI COMUNICACIONES)0249-4438824,,www.duppini.com.ar,NAPALEOFU,BUENOS AIRES
IPNEXT S.A.,5368-4000,www.ipnext.net.ar,Navarro,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Necochea,BUENOS AIRES
COOPERATIVA TELEFÓNICA DE PINAMAR LTDA / TELPIN02254 483000,,www.telpin.com.ar,Necochea,BUENOS AIRES
GENERACION WIFI S.A. (ASTESANO INFORMATICA),02262-430943,www.airfibra.com.ar,Necochea,BUENOS AIRES
HEGUIABEHERE PABLO MARTIN,542262579616,www.dexterwifi.com.ar,Necochea,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Necochea,BUENOS AIRES
,"USINA POPULAR COOPERATIVA DE OBRAS, SERVICIOS PUBLICOS Y SOCIALES LTDA.DE NECOCHEA",,Necochea,BUENOS AIRES
CPS.COMUNICACIONES SA /METROTEL,(011) 6091-1000,www.metrotel.com.ar,NEUQUÉN,BUENOS AIRES
CPS.COMUNICACIONES SA /METROTEL,(011) 6091-1000,www.metrotel.com.ar,Neuquén,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Norberto de la Riestra,BUENOS AIRES
ANTENA DELTA SRL (WIREDCOM),11 5258-0496,www.wiredcom.com.ar,Nordelta,BUENOS AIRES
GOW INTERNET SRL,(11) 52758500 / 081-3456-469,www.gowinternet.com.ar,Nordelta,BUENOS AIRES
SN COMUNICACIONES SRL (SN WIFI),0800 345 6666,www.snwifi.com.ar,Nordelta,BUENOS AIRES
DANAIDE SA,0810-999-3262,www.danaide.com.ar,Nueva Atlantis,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Nueva Atlantis,BUENOS AIRES
TVC 5 SA,(02257) 420081,www.tvc5sa.com.ar,Nueva Atlantis,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Nueva Plata,BUENOS AIRES
IPNEXT S.A.,5368-4000,www.ipnext.net.ar,Olascoaga,BUENOS AIRES
MEGATRANS SA,4343-5657,www.megatrans.com.ar,Olavarría,BUENOS AIRES
SILICA NETWORKS ARGENTINA SA,+54 (11) 4103-1300,www.silicanetworks.com,Olavarría,BUENOS AIRES
SITERNET S.R.L.,(0249) 44336000/636,www.ruralink.com.ar,Olavarría,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Olivos,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Olivos,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Olivos,BUENOS AIRES
SN COMUNICACIONES SRL (SN WIFI),0800 345 6666,www.snwifi.com.ar,Olivos,BUENOS AIRES
INTERNET WINDS AG SA,(0221) 5130100,www.iwinds.com.ar,Olmos,BUENOS AIRES
,"MONICABOZZI,LAUTAROPAZ, YMARIANOBORAGNOSOCIEDADLEY19550CAPISEC IV (SETinC)",www.setinc.com.ar,Olmos,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Ordoqui,BUENOS AIRES
CIUDAD GLOBAL S.A.,0291-455-8448,www.ciudadglobal.com.ar,Orense,BUENOS AIRES
ETERNET SRL,(02983) 513040,www.eternet.cc,Orense,BUENOS AIRES
ETERNET SRL,(02983) 513040,www.eternet.cc,Oriente,BUENOS AIRES
NODOCOOP FEDERACION DE COOPERATIVAS LTDA,(02923) 494200,www.nodocoop.com.ar,Oriente,BUENOS AIRES
COOPERATIVA TELEFÓNICA DE PINAMAR LTDA / TELPIN02254 483000,,www.telpin.com.ar,Ostende,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Pablo Noguez,BUENOS AIRES
SN COMUNICACIONES SRL (SN WIFI),0800 345 6666,www.snwifi.com.ar,Pablo Noguez,BUENOS AIRES
ALLOCATI SANTIAGO MARIO (IMPULSAR INTERNET),(011) 60917878,www.impulsarinternet.com.ar,Pablo Podesta,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Pablo Podestá,BUENOS AIRES
,"COOPERATIVA TELEFÓNICA Y DE OTROS SERVICIOS PÚBLICOS, CONSUMO Y VIVIENDA LOPEZ CAMELO LTDA (COTELCAM)",,Pacheco,BUENOS AIRES
JUMPNET SOLUCIONES DE INTERNET S.R.L.,011-6632-6600,www.jumpnet.com.ar,Pacheco,BUENOS AIRES
ETERNET SRL,(02983) 513040,www.eternet.cc,Pago Chico,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Parque San Martín,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Parque San Martín,BUENOS AIRES
,COOPERATIVA ELECTRICA INTEGRAL DE PROVISION DE SERVICIOS PUBLICOS Y SOCIALES DE TODD LTDA,www.todd.com.ar,,PARTIDO DE ARRECIFES Y ZONA RURAL A 20 KM A LA REDONDA
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Pasteur,BUENOS AIRES
COOPERATIVA DE SERVICIOS PUBLICOS DE FATIMA LIMITADA (COSEFA),0230-4490900/4444110,www.cosefa.com.ar,PAVON,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Pedernales,BUENOS AIRES
COOPERATIVA DE ELECTRICIDAD LTDA DE PEDRO LURO(02928) 410059,,www.luronet.com.ar,Pedro Luro,BUENOS AIRES
IPNEXT S.A.,5368-4000,www.ipnext.net.ar,Pehuajó,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Pehuen-co,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Pellegrini,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Pereyra,BUENOS AIRES
BROADBANDTECH SA (BBT),011 6385-9100,www.bbt.com.ar,Pergamino,BUENOS AIRES
INFRACOM S.A.,0800-150-0112 / 419987,www.celpinf.com.ar,Pergamino,BUENOS AIRES
MEGATRANS SA,4343-5657,www.megatrans.com.ar,Pergamino,BUENOS AIRES
MULTITRUNK SA (YEAP!),5236-5200,www.yeap.com.ar,Pergamino,BUENOS AIRES
NEXODIGITAL S.A. (CANAL 4),02477-644498/414498,www.canal4pergamino.com.ar,Pergamino,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Pergamino,BUENOS AIRES
SILICA NETWORKS ARGENTINA SA,+54 (11) 4103-1300,www.silicanetworks.com,Pergamino,BUENOS AIRES
SITERNET S.R.L.,(0249) 44336000/636,www.ruralink.com.ar,Pergamino,BUENOS AIRES
TECNO AZAR S.A.,02477-427033/34,www.tecnoazar.com.ar,Pergamino,BUENOS AIRES
NODOCOOP FEDERACION DE COOPERATIVAS LTDA,(02923) 494200,www.nodocoop.com.ar,Pigüé,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Pila,BUENOS AIRES
COOPERATIVA TELEFÓNICA DE VIVIENDA Y OTROS SERVICIOS PÚBLICOS DEL VISO LTDA,,www.telviso.com.ar,Pilar,BUENOS AIRES
CPS.COMUNICACIONES SA /METROTEL,(011) 6091-1000,www.metrotel.com.ar,Pilar,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Pilar,BUENOS AIRES
IPNEXT S.A.,5368-4000,www.ipnext.net.ar,Pilar,BUENOS AIRES
LARED NET S.A.,02320-439827,www.larednet.com.ar,Pilar,BUENOS AIRES
MULTITRUNK SA (YEAP!),5236-5200,www.yeap.com.ar,Pilar,BUENOS AIRES
MUNICIPALIDAD DEL PILAR,0230-4669200,www.pilar.gov.ar,Pilar,BUENOS AIRES
"SES, SISTEMAS ELECTRONICOS SA",5453-8469,www.ses.com.ar,Pilar,BUENOS AIRES
SN COMUNICACIONES SRL (SN WIFI),0800 345 6666,www.snwifi.com.ar,Pilar,BUENOS AIRES
TELMEX ARGENTINA S.A.,,www.claro.com.ar,Pilar,BUENOS AIRES
VER TV SA/TELERED,0810-810-22253,www.telered.com.ar,Pilar,BUENOS AIRES
VIZION GROUP S.R.L.,5632-8333,www.viziongroup.com.ar,Pilar,BUENOS AIRES
COOPERATIVA TELEFÓNICA DE PINAMAR LTDA / TELPIN02254 483000,,www.telpin.com.ar,Pinamar,BUENOS AIRES
MEGATRANS SA,4343-5657,www.megatrans.com.ar,Pinamar,BUENOS AIRES
MULTITRUNK SA (YEAP!),5236-5200,www.yeap.com.ar,Pinamar,BUENOS AIRES
TECNOCOMP ARGENTINA TELECOMUNICACIONES Y SERVICIOS SRL,,www.tecno-comp.net,Pinamar,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Pineyro,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Pineyro,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Pineyro,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Pipinas,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Pirovano,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Platanos,BUENOS AIRES
COSEIDI SA,5277-9700,www.fiber.net.ar,Platanos,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Platanos,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Platanos,BUENOS AIRES
TVC 5 SA,(02257) 420081,www.tvc5sa.com.ar,Playa Grande,BUENOS AIRES
INFOSPORT SA ( TELWINET),0220-4924-393,www.telwinet.com.ar,Pontevedra,BUENOS AIRES
COOPERATIVA DE PROVISION DE SERVICIOS TELEFONICOS PRESIDENTE DERQUI LTDA,,www.coopderqui.com.ar,PRESIDENTE DERQUI,BUENOS AIRES
NODOCOOP FEDERACION DE COOPERATIVAS LTDA,(02923) 494200,www.nodocoop.com.ar,Puan,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Puan,BUENOS AIRES
LATINA NET TELECOMUNICACIONES SRL,70771401,www.latinanet.com.ar,"Puente 12, Esteban Echeverria",BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Punta Alta,BUENOS AIRES
NODOCOOP FEDERACION DE COOPERATIVAS LTDA,(02923) 494200,www.nodocoop.com.ar,Punta Alta,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Punta Alta,BUENOS AIRES
RED INTERCABLE DIGITAL S.A.,(5411) 6091.5600,www.redintercable.com.ar,Quenuma,BUENOS AIRES
GENERACION WIFI S.A. (ASTESANO INFORMATICA),02262-430943,www.airfibra.com.ar,Quequén,BUENOS AIRES
,"USINA POPULAR COOPERATIVA DE OBRAS, SERVICIOS PUBLICOS Y SOCIALES LTDA.DE NECOCHEA",,Quequén,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Quilmes,BUENOS AIRES
COSEIDI SA,5277-9700,www.fiber.net.ar,Quilmes,BUENOS AIRES
CPS.COMUNICACIONES SA /METROTEL,(011) 6091-1000,www.metrotel.com.ar,Quilmes,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Quilmes,BUENOS AIRES
MULTITRUNK SA (YEAP!),5236-5200,www.yeap.com.ar,Quilmes,BUENOS AIRES
NSS SA / IPLAN,0800 345 0000,www.iplan.com.ar,Quilmes,BUENOS AIRES
"SES, SISTEMAS ELECTRONICOS SA",5453-8469,www.ses.com.ar,Quilmes,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Quilmes,BUENOS AIRES
COSEIDI SA,5277-9700,www.fiber.net.ar,Quilmes Oeste,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Quilmes Oeste,BUENOS AIRES
TELEFONIA PUBLICA Y PRIVADA S.A.,4372-3310,www.tpp.com.ar,Rada Tilly,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Rafael Calzada,BUENOS AIRES
COSEIDI SA,5277-9700,www.fiber.net.ar,Rafael Calzada,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Rafael Calzada,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Rafael Castillo,BUENOS AIRES
JUMPNET SOLUCIONES DE INTERNET S.R.L.,011-6632-6600,www.jumpnet.com.ar,Rafael Castillo,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Rafael Castillo,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Ramos Mejia,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Ramos Mejia,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Ramos Mejia,BUENOS AIRES
TELECENTRO S.A.,0800-322-9500,www.telecentro.com.ar,Ramos Mejia,BUENOS AIRES
ETERNET SRL,(02983) 513040,www.eternet.cc,Ramos Otero,BUENOS AIRES
SILICA NETWORKS ARGENTINA SA,+54 (11) 4103-1300,www.silicanetworks.com,Ranchos,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Ranelagh,BUENOS AIRES
COSEIDI SA,5277-9700,www.fiber.net.ar,Ranelagh,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Ranelagh,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Ranelagh,BUENOS AIRES
SITERNET S.R.L.,(0249) 44336000/636,www.ruralink.com.ar,Rauch,BUENOS AIRES
ADVANTUN SRL,5365-8800,www.advantun.com,Remedios de Escalada,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Remedios de Escalada,BUENOS AIRES
SION SA,0810 999 0100,www.sion.com,Remedios de Escalada,BUENOS AIRES
TELECENTRO S.A.,0800-322-9500,www.telecentro.com.ar,Remedios de Escalada,BUENOS AIRES
UNIVERSIDAD NACIONAL DE LANUS (UNLA),5533-5600,www.unla.edu.ar,Remedios de Escalada,BUENOS AIRES
ETERNET SRL,(02983) 513040,www.eternet.cc,Reta,BUENOS AIRES
SN COMUNICACIONES SRL (SN WIFI),0800 345 6666,www.snwifi.com.ar,Retiro,BUENOS AIRES
,"COOPERATIVA TELEFÓNICA Y DE OTROS SERVICIOS PÚBLICOS, CONSUMO Y VIVIENDA LOPEZ CAMELO LTDA (COTELCAM)",,Ricardo Rojas,BUENOS AIRES
IFX NETWORKS ARGENTINA SRL,(011) 5031-2400,www.ifxnetworks.com,Ricardo Rojas,BUENOS AIRES
ANTENA DELTA SRL (WIREDCOM),11 5258-0496,www.wiredcom.com.ar,Rincon de Milberg,BUENOS AIRES
GOW INTERNET SRL,(11) 52758500 / 081-3456-469,www.gowinternet.com.ar,Rincon de Milberg,BUENOS AIRES
